step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb
1,1.6048073768615723,0.28125,0.28125,1.0,0.001,4.932849407196045,0.23956704139709473,0.2744140625,267.148601188077,634.10888671875
2,1.6279240846633911,0.171875,0.171875,1.0,0.001,0.8123019337654114,0.04209089279174805,0.32442307472229004,1520.5189473326461,634.10888671875
3,1.607564091682434,0.21875,0.21875,1.0,0.001,0.4867613613605499,0.04284095764160156,0.3741164207458496,1493.897511241708,634.10888671875
4,1.6021759510040283,0.34375,0.34375,1.0,0.001,1.1869962215423584,0.04048347473144531,0.4215877056121826,1580.8919670200235,634.10888671875
5,1.598881483078003,0.234375,0.234375,1.0,0.001,0.24282139539718628,0.03806734085083008,0.4686002731323242,1681.231170067516,634.10888671875
6,1.6019375324249268,0.234375,0.234375,1.0,0.001,0.20291516184806824,0.033487796783447266,0.5087642669677734,1911.1439433852113,634.10888671875
7,1.6044830083847046,0.234375,0.234375,1.0,0.001,0.3698219060897827,0.040883541107177734,0.5565319061279297,1565.4221299525304,634.10888671875
8,1.629279613494873,0.203125,0.203125,1.0,0.001,0.48935675621032715,0.033289194107055664,0.595167875289917,1922.5457905102955,634.10888671875
9,1.614599585533142,0.1875,0.1875,1.0,0.001,0.39723923802375793,0.03849172592163086,0.6471655368804932,1662.694993991799,634.10888671875
10,1.6109778881072998,0.25,0.25,1.0,0.001,0.3315373659133911,0.027434825897216797,0.6829180717468262,2332.801390457982,634.10888671875
11,1.6139718294143677,0.203125,0.203125,1.0,0.001,0.2987699508666992,0.0352625846862793,0.729297399520874,1814.954875525686,634.10888671875
12,1.644396424293518,0.140625,0.140625,1.0,0.001,0.4856337308883667,0.027086734771728516,0.7641005516052246,2362.78017780125,634.10888671875
13,1.6293755769729614,0.171875,0.171875,1.0,0.001,0.3681136965751648,0.041329145431518555,0.8147792816162109,1548.5439955695801,634.10888671875
14,1.6323792934417725,0.15625,0.15625,1.0,0.001,0.506854772567749,0.02629542350769043,0.8493385314941406,2433.8835988430606,634.10888671875
15,1.6172611713409424,0.1875,0.1875,1.0,0.001,0.31948867440223694,0.03208780288696289,0.8955130577087402,1994.5273356812745,634.10888671875
16,1.6109529733657837,0.203125,0.203125,1.0,0.001,0.22739064693450928,0.027362823486328125,0.9313831329345703,2338.939913564757,634.10888671875
17,1.6127715110778809,0.1875,0.1875,1.0,0.001,0.3490307331085205,0.02869248390197754,0.9712808132171631,2230.5493040840915,634.10888671875
18,1.6004997491836548,0.34375,0.34375,1.0,0.001,0.581092894077301,0.03561758995056152,1.0174307823181152,1796.8649784792926,634.10888671875
19,1.6039661169052124,0.28125,0.28125,1.0,0.001,0.3423328995704651,0.03356361389160156,1.0613677501678467,1906.8268454850258,634.10888671875
20,1.6031084060668945,0.21875,0.21875,1.0,0.001,0.22522605955600739,0.0267636775970459,1.0962920188903809,2391.3006636675427,634.10888671875
21,1.6043800115585327,0.28125,0.28125,1.0,0.001,0.2610681354999542,0.027982711791992188,1.1344847679138184,2287.1264399154793,634.10888671875
22,1.6154652833938599,0.140625,0.140625,1.0,0.001,0.40183761715888977,0.02778339385986328,1.1719629764556885,2303.534273847527,634.10888671875
23,1.6211676597595215,0.15625,0.15625,1.0,0.001,0.3287947475910187,0.028085947036743164,1.2107269763946533,2278.7196713100907,634.10888671875
24,1.604623794555664,0.203125,0.203125,1.0,0.001,0.23101550340652466,0.02760481834411621,1.2486157417297363,2318.4358325488197,634.10888671875
25,1.6077121496200562,0.1875,0.1875,1.0,0.001,0.15250946581363678,0.03499913215637207,1.2970178127288818,1828.6167700974815,634.10888671875
26,1.6115859746932983,0.1875,0.1875,1.0,0.001,0.1744050830602646,0.03267312049865723,1.3410422801971436,1958.7966812851628,634.10888671875
27,1.604670763015747,0.3125,0.3125,1.0,0.001,0.42907342314720154,0.026854753494262695,1.3773071765899658,2383.190745492156,634.10888671875
28,1.6115132570266724,0.265625,0.265625,1.0,0.001,0.3657328486442566,0.030704736709594727,1.4240844249725342,2084.368956011958,634.10888671875
29,1.6033588647842407,0.1875,0.1875,1.0,0.001,0.3097524344921112,0.03951263427734375,1.473499059677124,1619.7350839930489,634.10888671875
30,1.622200608253479,0.15625,0.15625,1.0,0.001,0.30402758717536926,0.03309941291809082,1.5171103477478027,1933.5690381692586,634.10888671875
