step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr
1,4.43073844909668,4.43073844909668,0.01315789483487606,0.01315789483487606,83.99341887910069,6.392204387987837,0.001,3.0110480785369873,0.056780099868774414,0.06086921691894531,9369.479821795232,0.0,-0.010897783562541008
2,4.395843029022217,4.395843029022217,0.1094527393579483,0.1094527393579483,81.11298254577561,6.341860938496672,0.001,1.2853410243988037,0.01750802993774414,0.0818030834197998,22960.892883405508,0.0,-0.015291616320610046
3,4.387938499450684,4.387938499450684,0.11138014495372772,0.11138014495372772,80.47434994696668,6.330457112883261,0.001,0.8402085900306702,0.01642298698425293,0.10158491134643555,25147.678701566423,0.0,-0.09907805174589157
4,4.373022079467773,4.373022079467773,0.12931033968925476,0.12931033968925476,79.2828691511983,6.308937267746099,0.001,0.5767092704772949,0.015418052673339844,0.1207571029663086,30094.591699140223,0.0,-0.06683296710252762
5,4.377556800842285,4.377556800842285,0.1031390130519867,0.1031390130519867,79.64321128065212,6.315479487784921,0.001,0.7192603945732117,0.01639389991760254,0.14072799682617188,27205.241110513227,0.0,0.11064931750297546
6,4.366153717041016,4.366153717041016,0.154875710606575,0.154875710606575,78.74019145854467,6.299028315333988,0.001,0.5577402114868164,0.014775991439819336,0.1596238613128662,35395.256022589754,0.0,0.027265820652246475
7,4.351655006408691,4.351655006408691,0.19953051209449768,0.19953051209449768,77.60679644504395,6.27811109740545,0.001,0.7357051372528076,0.015118837356567383,0.17867708206176758,28176.769810606656,0.0,0.045581456273794174
8,4.347559452056885,4.347559452056885,0.23777778446674347,0.23777778446674347,77.2896035758228,6.272202461452407,0.001,0.5892773866653442,0.01664113998413086,0.1989450454711914,27041.41665950314,0.0,0.0849345400929451
9,4.327281475067139,4.327281475067139,0.2381974309682846,0.2381974309682846,75.738110507,6.24294752461004,0.001,0.7045714259147644,0.01565694808959961,0.21860599517822266,29763.14396223542,0.0,0.057401686906814575
10,4.326768398284912,4.326768398284912,0.2514619827270508,0.2514619827270508,75.69926100820932,6.242207311280726,0.001,0.599364161491394,0.01703023910522461,0.24002623558044434,30122.888870222596,0.0,-0.033571381121873856
11,4.321146488189697,4.321146488189697,0.23116883635520935,0.23116883635520935,75.2748806005382,6.234096609466036,0.001,0.5758724212646484,0.016160011291503906,0.26005101203918457,23824.240778990854,0.0,0.06217231974005699
12,4.314240455627441,4.314240455627441,0.23098590970039368,0.23098590970039368,74.75682075207868,6.224133310536252,0.001,0.6386362314224243,0.016978025436401367,0.28141307830810547,20909.380854081533,0.0,0.1270056962966919
13,4.295452117919922,4.295452117919922,0.26530611515045166,0.26530611515045166,73.36537674935332,6.1970274688990665,0.001,0.58882075548172,0.015872955322265625,0.3011939525604248,27783.105984138427,0.0,0.04130730777978897
14,4.2884087562561035,4.2884087562561035,0.2589927911758423,0.2589927911758423,72.85045339175558,6.1868660459554885,0.001,0.5131975412368774,0.014400959014892578,0.3198721408843994,28956.40488725539,0.0,0.03370681405067444
15,4.289029121398926,4.289029121398926,0.24528302252292633,0.24528302252292633,72.89566129493241,6.187761043670578,0.001,0.5483736991882324,0.016009807586669922,0.3395829200744629,19862.824601638124,0.0,0.09268652647733688
16,4.2785420417785645,4.2785420417785645,0.2613636255264282,0.2613636255264282,72.13519320525982,6.1726313859088755,0.001,0.6553016304969788,0.01523900032043457,0.3585810661315918,23098.628033230594,0.0,0.06758983433246613
17,4.263610363006592,4.263610363006592,0.28654971718788147,0.28654971718788147,71.06609524911667,6.151089526992403,0.001,0.6672857999801636,0.015456199645996094,0.3782050609588623,22127.043376318874,0.0,0.07628517597913742
18,4.245840549468994,4.245840549468994,0.2788732349872589,0.2788732349872589,69.8144179599959,6.12545310512419,0.001,0.502883791923523,0.01551365852355957,0.3974630832672119,22883.061365627258,0.0,0.008891725912690163
19,4.253885269165039,4.253885269165039,0.23622047901153564,0.23622047901153564,70.37832056121329,6.137059182335015,0.001,0.4356902539730072,0.015046834945678711,0.4168729782104492,33761.252903614266,0.0,0.021554432809352875
20,4.246443271636963,4.246443271636963,0.2493506520986557,0.2493506520986557,69.85650934077414,6.126322649406952,0.001,0.48038849234580994,0.01578068733215332,0.4371340274810791,24396.90945625406,0.0,0.01884963922202587
21,4.20605993270874,4.20605993270874,0.32932692766189575,0.32932692766189575,67.09167265062672,6.068061806600667,0.001,0.5123865008354187,0.015556812286376953,0.45671916007995605,26740.696766283523,0.0,-0.0033600684255361557
22,4.19444465637207,4.19444465637207,0.32781457901000977,0.32781457901000977,66.31689268534278,6.051304505031198,0.001,0.6070444583892822,0.015137910842895508,0.47569704055786133,19949.912714787457,0.0,-0.05262194946408272
23,4.189847946166992,4.189847946166992,0.31683167815208435,0.31683167815208435,66.01275270517544,6.044672854013928,0.001,0.4996635317802429,0.014777898788452148,0.4947960376739502,27338.122001193875,0.0,0.00879686139523983
24,4.196849822998047,4.196849822998047,0.30136987566947937,0.30136987566947937,66.47658783210264,6.054774426995007,0.001,0.5016769766807556,0.016003847122192383,0.5147368907928467,22807.01616387337,0.0,0.02198895625770092
25,4.165304183959961,4.165304183959961,0.34252873063087463,0.34252873063087463,64.41227264396188,6.0092636899930865,0.001,0.5666930675506592,0.015217781066894531,0.5343320369720459,28584.982139499905,0.0,-0.046597447246313095
26,4.193700790405273,4.193700790405273,0.2977667450904846,0.2977667450904846,66.26758014908303,6.0502313332898146,0.001,0.5787361264228821,0.015390872955322266,0.5541560649871826,26184.349722712766,0.0,-0.02282494120299816
27,4.169956207275391,4.169956207275391,0.2829670310020447,0.2829670310020447,64.71261810348577,6.015975140960356,0.001,0.5677003860473633,0.01639103889465332,0.574714183807373,22207.25619281735,0.0,-0.06018895283341408
28,4.127033710479736,4.127033710479736,0.33471933007240295,0.33471933007240295,61.993758491133846,5.954051067690694,0.001,0.5770401954650879,0.0162808895111084,0.5957801342010498,29543.84032099814,0.0,-0.07891309261322021
29,4.143092632293701,4.143092632293701,0.2909930646419525,0.2909930646419525,62.997348127651094,5.977219194553724,0.001,0.505747377872467,0.017229080200195312,0.6176011562347412,25131.92782021477,0.0,0.003915312234312296
30,4.1270551681518555,4.1270551681518555,0.31270357966423035,0.31270357966423035,61.995088747149026,5.954082024567849,0.001,0.7643531560897827,0.015784025192260742,0.6379761695861816,19450.04498285576,0.0,-0.00516669312492013
31,4.121026515960693,4.121026515960693,0.24594594538211823,0.24594594538211823,61.62246625380646,5.9453845179484155,0.001,0.709868848323822,0.015087127685546875,0.657585859298706,24524.217446270544,0.0,0.09174138307571411
32,4.062975883483887,4.062975883483887,0.38989898562431335,0.38989898562431335,58.1470928354654,5.861635158353659,0.001,0.7085313200950623,0.015271902084350586,0.6778171062469482,32412.465537428772,0.0,-0.06637118011713028
33,4.063998699188232,4.063998699188232,0.36231884360313416,0.36231884360313416,58.2065970208997,5.8631107694980615,0.001,0.631900429725647,0.015208959579467773,0.6976199150085449,27220.796914925304,0.0,-0.061736397445201874
34,4.076381683349609,4.076381683349609,0.32134830951690674,0.32134830951690674,58.93184951759541,5.880975639339086,0.001,0.6539926528930664,0.015374898910522461,0.7178070545196533,28943.279730798455,0.0,-0.0038831201381981373
35,4.031856060028076,4.031856060028076,0.3504273593425751,0.3504273593425751,56.365431843881886,5.81673874338062,0.001,0.6730800867080688,0.017774105072021484,0.740562915802002,26330.43959758551,0.0,-0.04375636577606201
36,4.0399956703186035,4.0399956703186035,0.2955145239830017,0.2955145239830017,56.82609676604238,5.828481718781533,0.001,0.8123502731323242,0.01551508903503418,0.7616572380065918,24427.83274683058,0.0,0.03054840676486492
37,4.018640518188477,4.018640518188477,0.32249999046325684,0.32249999046325684,55.62543263636022,5.797672746705969,0.001,0.7114607691764832,0.0157928466796875,0.782149076461792,25327.92270531401,0.0,-0.09510834515094757
38,3.9451687335968018,3.9451687335968018,0.3618420958518982,0.3618420958518982,51.68505838218681,5.691675367430298,0.001,0.7674522995948792,0.014784097671508789,0.8024489879608154,30843.952071473497,0.0,-0.05441293120384216
39,3.958688735961914,3.958688735961914,0.3265306055545807,0.3265306055545807,52.38858562225654,5.711180607795253,0.001,0.682532548904419,0.01543116569519043,0.8229629993438721,31753.919935726095,0.0,-0.010967262089252472
40,3.9302120208740234,3.9302120208740234,0.4009324014186859,0.4009324014186859,50.917772155388505,5.670097392157145,0.001,0.857812762260437,0.015430927276611328,0.8436009883880615,27801.31046630203,0.0,0.024637121707201004
41,3.911479949951172,3.911479949951172,0.3479623794555664,0.3479623794555664,49.97285459754815,5.643072726331167,0.001,0.8211773633956909,0.016572952270507812,0.8650710582733154,19248.230176084704,0.0,-0.007585891988128424
42,3.8789196014404297,3.8789196014404297,0.35929203033447266,0.35929203033447266,48.371925870808504,5.596098073005103,0.001,0.7716149091720581,0.014780282974243164,0.8856639862060547,38226.602358330776,0.0,-0.03779599070549011
43,3.903660297393799,3.903660297393799,0.3315363824367523,0.3315363824367523,49.58360810688808,5.63179135236517,0.001,0.8391525745391846,0.01605081558227539,0.9065759181976318,23114.09025281483,0.0,0.01897827908396721
44,3.859020709991455,3.859020709991455,0.36094674468040466,0.36094674468040466,47.41889177692595,5.567390040992479,0.001,0.8755344748497009,0.015007972717285156,0.9266910552978516,22521.36290271335,0.0,-0.03571093827486038
45,3.800421953201294,3.800421953201294,0.39915966987609863,0.39915966987609863,44.72005028115928,5.482849905169055,0.001,0.8929758667945862,0.014397144317626953,0.9464740753173828,33062.112145199215,0.0,-0.05204891040921211
46,3.8038346767425537,3.8038346767425537,0.39042356610298157,0.39042356610298157,44.872928166121945,5.487773424497956,0.001,0.8991900086402893,0.014618158340454102,0.9663691520690918,37145.58204622185,0.0,-0.00887860357761383
47,3.8462212085723877,3.8462212085723877,0.30909091234207153,0.30909091234207153,46.8158213380634,5.548924263769339,0.001,0.8321625590324402,0.014877080917358398,0.9866249561309814,29575.69448228337,0.0,0.05579286441206932
48,3.867501974105835,3.867501974105835,0.2752808928489685,0.2752808928489685,47.822774217926174,5.579625918670764,0.001,0.9125985503196716,0.015496253967285156,1.0070631504058838,22973.294110406794,0.0,-0.00718743447214365
