step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
1,4.443909168243408,4.443909168243408,0.033175356686115265,0.033175356686115265,85.10698977675375,6.411205719185763,0.001,0.3348161578178406,0.0038259029388427734,0.005326986312866211,55150.3797594566,0.0,nan,0.005,nan,nan,nan,nan,nan
2,4.441849708557129,4.441849708557129,0.02684563770890236,0.02684563770890236,84.9318957237463,6.4082345469094575,0.001,0.3356577455997467,0.003058910369873047,0.010416030883789062,97420.31114575214,0.0,nan,0.01,nan,nan,nan,nan,nan
3,4.434503078460693,4.434503078460693,0.014925372786819935,0.014925372786819935,84.31021891340046,6.397635600102085,0.001,0.4387311041355133,0.0033922195434570312,0.015295982360839844,59253.240371099244,0.0,nan,0.015,nan,nan,nan,nan,nan
4,4.441895484924316,4.441895484924316,0.01773049682378769,0.01773049682378769,84.9357836863786,6.408300588247389,0.001,0.3078099489212036,0.0031511783599853516,0.020221233367919922,89490.3327532723,0.0,nan,0.02,nan,nan,nan,nan,nan
5,4.395235061645508,4.395235061645508,0.043668121099472046,0.043668121099472046,81.06368348618868,6.340983826977272,0.001,0.3328337073326111,0.003637075424194336,0.02580714225769043,62962.675581776464,0.0,nan,0.025,nan,nan,nan,nan,nan
6,4.393516540527344,4.393516540527344,0.038167938590049744,0.038167938590049744,80.92449346894952,6.338504525082434,0.001,0.32934096455574036,0.0032808780670166016,0.030946016311645508,79856.67088147663,0.0,nan,0.03,nan,nan,nan,nan,nan
7,4.376707553863525,4.376707553863525,0.049504950642585754,0.049504950642585754,79.57560323612044,6.314254283380174,0.001,0.419592946767807,0.002961874008178711,0.035761117935180664,68200.06504065041,0.0,nan,0.035,nan,nan,nan,nan,nan
8,4.373161315917969,4.373161315917969,0.06145251542329788,0.06145251542329788,79.29390898501602,6.309138143482307,0.001,0.3441339433193207,0.0036230087280273438,0.0409698486328125,49406.45011845222,0.0,nan,0.04,nan,nan,nan,nan,nan
9,4.36994743347168,4.36994743347168,0.04782608523964882,0.04782608523964882,79.03947675946652,6.304501491215046,0.001,0.37426501512527466,0.003081083297729492,0.04586315155029297,74649.0691016018,0.0,nan,0.045,nan,nan,nan,nan,nan
10,4.342508792877197,4.342508792877197,0.052173912525177,0.052173912525177,76.90022426884158,6.264915900500651,0.001,0.31737956404685974,0.0030150413513183594,0.05061006546020508,76284.19421160841,0.0,nan,0.05,nan,nan,nan,nan,nan
