step,train_loss,wall_clock_time_sec,eval_accuracy,eval_selective_aurc,eval_update_strength_mean,eval_update_strength_severity_corr
1,0.7595216631889343,0.001199960708618164,,,,
2,0.6959586143493652,0.002147197723388672,,,,
3,0.729264497756958,0.0031430721282958984,,,,
4,0.7246361970901489,0.004075050354003906,,,,
5,0.7799064517021179,0.00504612922668457,,,,
6,0.7554405331611633,0.006133079528808594,,,,
7,0.6579848527908325,0.007269859313964844,,,,
8,0.7777358293533325,0.008249998092651367,,,,
9,0.7031680941581726,0.009268045425415039,,,,
10,0.8081091046333313,0.010233879089355469,0.51953125,0.4432773292064667,0.500440239906311,0.08274412900209427
11,0.7251840233802795,0.012902975082397461,,,,
12,0.7253759503364563,0.013839244842529297,,,,
13,0.7801302075386047,0.014940023422241211,,,,
14,0.6905484199523926,0.015946149826049805,,,,
15,0.6790828704833984,0.016953229904174805,,,,
16,0.653701663017273,0.0178830623626709,,,,
17,0.7000544667243958,0.01889514923095703,,,,
18,0.7071871161460876,0.019842147827148438,,,,
19,0.7245504260063171,0.0207822322845459,,,,
20,0.7087330222129822,0.021732091903686523,0.546875,0.4093451201915741,0.5041821002960205,0.08261971175670624
21,0.699690580368042,0.024862051010131836,,,,
22,0.7397656440734863,0.025846004486083984,,,,
23,0.6787382960319519,0.0268099308013916,,,,
24,0.6892357468605042,0.02780294418334961,,,,
25,0.6610028743743896,0.02883315086364746,,,,
26,0.7075845003128052,0.02980518341064453,,,,
27,0.6969259977340698,0.030874013900756836,,,,
28,0.6793255805969238,0.031916141510009766,,,,
29,0.6869534254074097,0.03293490409851074,,,,
30,0.7232760787010193,0.03395795822143555,0.58203125,0.3673797845840454,0.5079981088638306,0.08334262669086456
31,0.6776739358901978,0.0367429256439209,,,,
32,0.6923099756240845,0.037751197814941406,,,,
33,0.7251402735710144,0.03885507583618164,,,,
34,0.6179956197738647,0.039929866790771484,,,,
35,0.6316708326339722,0.04094696044921875,,,,
36,0.6741070747375488,0.04197406768798828,,,,
37,0.7215286493301392,0.043054819107055664,,,,
38,0.6752910017967224,0.04410195350646973,,,,
39,0.6690255403518677,0.04512810707092285,,,,
40,0.6807241439819336,0.04617714881896973,0.6015625,0.3230275511741638,0.5118083953857422,0.08277186006307602
41,0.6196406483650208,0.04914689064025879,,,,
42,0.7104781270027161,0.05021023750305176,,,,
43,0.7137993574142456,0.051284074783325195,,,,
44,0.6174112558364868,0.05234098434448242,,,,
45,0.6440263986587524,0.053431034088134766,,,,
46,0.6368899345397949,0.05454397201538086,,,,
47,0.6932951807975769,0.055793046951293945,,,,
48,0.6239055395126343,0.057060956954956055,,,,
49,0.670870840549469,0.058300018310546875,,,,
50,0.6277121305465698,0.05942416191101074,0.63671875,0.27269747853279114,0.5158157348632812,0.08219847828149796
