step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb
1,4.431398868560791,4.431398868560791,0.016806723549962044,0.016806723549962044,84.04890808884598,6.393157171873617,0.001,3.2950215339660645,0.010623931884765625,0.012645959854125977,22402.252064631957,0.0
2,4.407316207885742,4.407316207885742,0.019801979884505272,0.019801979884505272,82.04896538471124,6.358413236746312,0.001,2.199202060699463,0.009782075881958008,0.024617910385131836,20650.013600136488,0.0
3,4.394105911254883,4.394105911254883,0.07339449226856232,0.07339449226856232,80.97220205418185,6.3393548073082995,0.001,0.9225766658782959,0.008743047714233398,0.03557896614074707,24934.09702489706,0.0
4,4.383850574493408,4.383850574493408,0.11274509876966476,0.11274509876966476,80.1460483367617,6.324559483819874,0.001,1.3688243627548218,0.00882411003112793,0.046571969985961914,23118.478722541946,0.0
