prototype_diversity_penalty_mean,prototype_diversity_penalty_std
0.009957990609109402,0.0
0.009993716143071651,0.0
0.010018187575042248,0.0
0.009994267486035824,0.0
0.009942675940692425,0.0
0.009868411347270012,0.0
0.009812938049435616,0.0
0.009771548211574554,0.0
0.009747443720698357,0.0
0.009724314324557781,0.0
0.009706336073577404,0.0
0.009695712476968765,0.0
0.009673234075307846,0.0
0.00966679397970438,0.0
0.00967418309301138,0.0
0.009683658368885517,0.0
0.009713711217045784,0.0
0.009755035862326622,0.0
0.009811488911509514,0.0
0.009902842342853546,0.0
0.010017734952270985,0.0
0.010154380463063717,0.0
0.010307811200618744,0.0
0.010456454008817673,0.0
0.01062841434031725,0.0
0.010849806480109692,0.0
0.011070212349295616,0.0
0.011318723671138287,0.0
0.011590288020670414,0.0
0.011868545785546303,0.0
0.012169353663921356,0.0
0.012466279789805412,0.0
0.01276681199669838,0.0
0.013036253862082958,0.0
0.013334727846086025,0.0
0.0136062391102314,0.0
0.01390030700713396,0.0
0.01416358444839716,0.0
0.014387699775397778,0.0
0.014634872786700726,0.0
0.014920447953045368,0.0
0.015253979712724686,0.0
0.01557462103664875,0.0
0.01588262803852558,0.0
0.016230005770921707,0.0
0.016598228365182877,0.0
0.01699739694595337,0.0
0.017421269789338112,0.0
0.017849590629339218,0.0
0.018251951783895493,0.0
0.018625451251864433,0.0
0.019034957513213158,0.0
0.01947951875627041,0.0
0.01989576779305935,0.0
0.020352913066744804,0.0
0.020806005224585533,0.0
0.021299902349710464,0.0
0.021787283942103386,0.0
0.022265886887907982,0.0
0.02280847355723381,0.0
0.023399334400892258,0.0
0.0239883903414011,0.0
0.024511147290468216,0.0
0.024986812844872475,0.0
0.02539878711104393,0.0
0.025826409459114075,0.0
0.026321841403841972,0.0
0.02686208114027977,0.0
0.027365652844309807,0.0
0.027790721505880356,0.0
0.02823476679623127,0.0
0.028709949925541878,0.0
0.02914825640618801,0.0
0.029614334926009178,0.0
0.03013240545988083,0.0
0.030620183795690536,0.0
0.031157981604337692,0.0
0.031669847667217255,0.0
0.032204482704401016,0.0
0.032769255340099335,0.0
0.033276431262493134,0.0
0.033731382340192795,0.0
0.034222301095724106,0.0
0.034677326679229736,0.0
0.03509888797998428,0.0
0.03546404466032982,0.0
0.0358562134206295,0.0
0.03624211996793747,0.0
0.0366402193903923,0.0
0.03702984005212784,0.0
0.03735433146357536,0.0
0.03763134777545929,0.0
0.03795081749558449,0.0
0.038295526057481766,0.0
0.03860611841082573,0.0
0.03894159570336342,0.0
0.03932344168424606,0.0
0.03967718780040741,0.0
0.040007855743169785,0.0
0.04037525877356529,0.0
0.04076550900936127,0.0
0.04113909602165222,0.0
0.04148182272911072,0.0
0.041844453662633896,0.0
0.04225480556488037,0.0
0.042663659900426865,0.0
0.043087318539619446,0.0
0.04350244253873825,0.0
0.04389147460460663,0.0
0.044322121888399124,0.0
0.04473567008972168,0.0
0.04511411488056183,0.0
0.045376282185316086,0.0
0.04566499963402748,0.0
0.045963168144226074,0.0
0.04626157134771347,0.0
0.046568289399147034,0.0
0.046913888305425644,0.0
0.04720425233244896,0.0
0.04750945419073105,0.0
0.047842949628829956,0.0
0.048218872398138046,0.0
0.04864037036895752,0.0
0.04910212755203247,0.0
0.049542225897312164,0.0
0.049991175532341,0.0
0.05045823007822037,0.0
0.050946157425642014,0.0
0.05136255919933319,0.0
0.0517900250852108,0.0
0.0522688664495945,0.0
0.05270981416106224,0.0
0.05309084802865982,0.0
0.05350697040557861,0.0
0.05375880375504494,0.0
0.0539848729968071,0.0
0.05430121719837189,0.0
0.05466996878385544,0.0
0.055104468017816544,0.0
0.055636607110500336,0.0
0.05615907534956932,0.0
0.056643202900886536,0.0
0.05699552968144417,0.0
0.05729946866631508,0.0
0.05759117379784584,0.0
0.05781054496765137,0.0
0.05797029286623001,0.0
0.05803942680358887,0.0
0.05808984488248825,0.0
0.05822440981864929,0.0
0.05836154893040657,0.0
0.058462463319301605,0.0
0.058589089661836624,0.0
0.05870572477579117,0.0
0.05891036614775658,0.0
0.059064120054244995,0.0
0.05926360562443733,0.0
0.05944214388728142,0.0
0.05962075665593147,0.0
0.05980341136455536,0.0
0.059897348284721375,0.0
0.05996502935886383,0.0
0.05998513102531433,0.0
0.0600631944835186,0.0
0.06016434356570244,0.0
0.0603482648730278,0.0
0.060516972094774246,0.0
0.06069254130125046,0.0
0.06087031960487366,0.0
0.06094779074192047,0.0
0.061043813824653625,0.0
0.06113635376095772,0.0
0.061231449246406555,0.0
0.061328157782554626,0.0
0.06144704297184944,0.0
0.061630748212337494,0.0
0.0618128702044487,0.0
0.062012929469347,0.0
0.06225166097283363,0.0
0.06253182142972946,0.0
0.06277666240930557,0.0
0.06301537156105042,0.0
0.06331498175859451,0.0
0.06362243741750717,0.0
0.06384485214948654,0.0
0.06408771872520447,0.0
0.06426399946212769,0.0
0.06444651633501053,0.0
0.06461025029420853,0.0
0.06479407846927643,0.0
0.06496639549732208,0.0
0.0651160478591919,0.0
0.06531143933534622,0.0
0.06544187664985657,0.0
0.06560349464416504,0.0
0.0657242015004158,0.0
0.06582129001617432,0.0
0.06584290415048599,0.0
0.06588118523359299,0.0
0.0658254399895668,0.0
