step,train_loss,wall_clock_time_sec,eval_clean_accuracy,eval_clean_ece,eval_clean_aurc,eval_clean_resistance_noise_corr,eval_clean_resistance_occlusion_corr,eval_noisy_accuracy,eval_noisy_ece,eval_noisy_aurc,eval_clean_vs_noisy_auroc,eval_noisy_resistance_noise_corr,eval_noisy_resistance_occlusion_corr,eval_occluded_accuracy,eval_occluded_ece,eval_occluded_aurc,eval_clean_vs_occluded_auroc,eval_occluded_resistance_noise_corr,eval_occluded_resistance_occlusion_corr
1,2.3052332401275635,0.025816917419433594,,,,,,,,,,,,,,,,,
2,2.2865116596221924,0.05087995529174805,,,,,,,,,,,,,,,,,
3,2.2884562015533447,0.07797598838806152,,,,,,,,,,,,,,,,,
4,2.288381338119507,0.10697221755981445,,,,,,,,,,,,,,,,,
5,2.2644577026367188,0.13474321365356445,,,,,,,,,,,,,,,,,
6,2.274233818054199,0.16106414794921875,,,,,,,,,,,,,,,,,
7,2.2640950679779053,0.18690156936645508,,,,,,,,,,,,,,,,,
8,2.253225564956665,0.2118523120880127,,,,,,,,,,,,,,,,,
9,2.265749931335449,0.23642826080322266,,,,,,,,,,,,,,,,,
10,2.2649617195129395,0.2665390968322754,,,,,,,,,,,,,,,,,
11,2.244584321975708,0.29706525802612305,,,,,,,,,,,,,,,,,
12,2.2467429637908936,0.3241438865661621,,,,,,,,,,,,,,,,,
13,2.2492003440856934,0.3522822856903076,,,,,,,,,,,,,,,,,
14,2.2587811946868896,0.38251423835754395,,,,,,,,,,,,,,,,,
15,2.190269708633423,0.40720486640930176,,,,,,,,,,,,,,,,,
16,2.209743022918701,0.4308440685272217,,,,,,,,,,,,,,,,,
17,2.1141819953918457,0.456589937210083,,,,,,,,,,,,,,,,,
18,2.2041521072387695,0.4913785457611084,,,,,,,,,,,,,,,,,
19,2.1967012882232666,0.5226714611053467,,,,,,,,,,,,,,,,,
20,2.171952724456787,0.5543994903564453,,,,,,,,,,,,,,,,,
21,2.1984081268310547,0.5894064903259277,,,,,,,,,,,,,,,,,
22,2.1771602630615234,0.6248562335968018,,,,,,,,,,,,,,,,,
23,2.2118310928344727,0.6567747592926025,,,,,,,,,,,,,,,,,
24,2.237449884414673,0.6889231204986572,,,,,,,,,,,,,,,,,
25,2.116903066635132,0.7600970268249512,0.201171875,0.04019950330257416,0.5559472441673279,nan,nan,0.212890625,0.054827943444252014,0.5655185580253601,0.47574520111083984,nan,nan,0.1787109375,0.030005164444446564,0.5964929461479187,0.5086593627929688,nan,nan
26,2.221022129058838,1.5763368606567383,,,,,,,,,,,,,,,,,
27,2.1696033477783203,1.60024094581604,,,,,,,,,,,,,,,,,
28,2.1610841751098633,1.624528408050537,,,,,,,,,,,,,,,,,
29,2.1112046241760254,1.6456074714660645,,,,,,,,,,,,,,,,,
30,2.1685280799865723,1.6705548763275146,,,,,,,,,,,,,,,,,
31,2.0943150520324707,1.6949448585510254,,,,,,,,,,,,,,,,,
32,2.1945226192474365,1.717771053314209,,,,,,,,,,,,,,,,,
33,2.02329421043396,1.740333080291748,,,,,,,,,,,,,,,,,
34,2.050579786300659,1.7678227424621582,,,,,,,,,,,,,,,,,
35,2.0248711109161377,1.7963619232177734,,,,,,,,,,,,,,,,,
36,2.0880286693573,1.8225302696228027,,,,,,,,,,,,,,,,,
37,2.0467782020568848,1.8495492935180664,,,,,,,,,,,,,,,,,
38,2.1432299613952637,1.8776609897613525,,,,,,,,,,,,,,,,,
39,2.035139799118042,1.9032912254333496,,,,,,,,,,,,,,,,,
40,2.1044225692749023,1.9272377490997314,,,,,,,,,,,,,,,,,
41,2.1514906883239746,1.953226089477539,,,,,,,,,,,,,,,,,
42,2.1287291049957275,1.9844889640808105,,,,,,,,,,,,,,,,,
43,2.076495409011841,2.0181658267974854,,,,,,,,,,,,,,,,,
